"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"156",156,"CORCTRI","Corchorus tridens","Corchorus tridens",NA,"L.",FALSE,156
"157",157,"CORCTRL","Corchorus trilocularis","Corchorus trilocularis",NA,"L.",FALSE,157
"163",163,"CRASCRE","Crassocephalum crepidi","Crassocephalum crepidioides",NA,"(Benth.) S. Moore",FALSE,163
"165",165,"CRASALS","Crassula alsinoides","Crassula alsinoides",NA,"(Hook. f.) Engl.",FALSE,165
"167",167,"CRASSCH","Crassula schimperi","Crassula schimperi",NA,"Fisch. & C.A. Mey.",FALSE,167
"171",171,"CROTAGA","Crotalaria agatiflora","Crotalaria agatiflora",NA,"Schweinf.",FALSE,171
"177",177,"CROT.SP","Crotalaria species","Crotalaria species",NA,"NA",FALSE,177
"178",178,"CROTDIC","Croton dichogamus","Croton dichogamus",NA,"Pax",FALSE,178
"179",179,"CROTMEG","Croton megalocarpus","Croton megalocarpus",NA,"Hutch.",FALSE,179
"180",180,"CUCUACU","Cucumis aculeatus","Cucumis aculeatus",NA,"Cogn.",FALSE,180
"185",185,"CYATCYL","Cyathula cylindrica","Cyathula cylindrica",NA,"Moq.",FALSE,185
"186",186,"CYATUNC","Cyathula uncinulata","Cyathula uncinulata",NA,"(Schrad.) Schinz",FALSE,186
"189",189,"CYCNTUB","Cycnium tubulosum","Cycnium tubulosum",NA,"(L. f.) Engl.",FALSE,189
"191",191,"CYNODAC","Cynodon dactylon","Cynodon dactylon",NA,"(L.) Pers.",FALSE,191
"197",197,"CYPEDIV","Cyperus dives","Cyperus dives",NA,"Delile",FALSE,197
"52000",52000,"CYPEDIV","Cyperus immensus","Cyperus immensus",NA,"C.B. Clarke",TRUE,197
"209",209,"CYPEROT","Cyperus rotundus","Cyperus rotundus",NA,"L.",FALSE,209
"210",210,"CYPE.SP","Cyperus species","Cyperus species",NA,"NA",FALSE,210
"214",214,"DACTAEG","Dactyloctenium aegypti","Dactyloctenium aegyptium",NA,"(L.) Willd.",FALSE,214
"219",219,"DESMREP","Desmodium repandum","Desmodium repandum",NA,"(Vahl) DC.",FALSE,219
"220",220,"DICHREP","Dichondra repens","Dichondra repens",NA,"J.R. Forst. & G. Forst.",FALSE,220
"221",221,"DICHINT","Dichrocephala integrif","Dichrocephala integrifolia",NA,"(L. f.) Kuntze",FALSE,221
"222",222,"DIGIABY","Digitaria abyssinica","Digitaria abyssinica",NA,"(Hochst. ex A. Rich.) Stapf",FALSE,222
"227",227,"DIGI.SP","Digitaria species","Digitaria species",NA,"NA",FALSE,227
"228",228,"DIGIVEL","Digitaria velutina","Digitaria velutina",NA,"(Forssk.) P. Beauv.",FALSE,228
"232",232,"DODOV.A","Dodonaea viscosa var.","Dodonaea viscosa var. angustifolia",NA,"(L. f.) Benth.",FALSE,232
"51551",51551,"DODOV.A","Dodonaea angustifolia","Dodonaea angustifolia",NA,"L. f.",TRUE,232
"233",233,"DRYMCOR","Drymaria cordata","Drymaria cordata",NA,"(L.) Willd. ex Roem. & Schult.",FALSE,233
"237",237,"ECHIPYR","Echinochloa pyramidali","Echinochloa pyramidalis",NA,"(Lam.) Hitchc. & Chase",FALSE,237
"243",243,"ELEUMUL","Eleusine multiflora","Eleusine multiflora",NA,"Hochst. ex A. Rich.",FALSE,243
"245",245,"EMILDIS","Emilia discifolia","Emilia discifolia",NA,"(Oliv.) C. Jeffrey",FALSE,245
"50019",50019,"EMILDIS","Senecio discifolius","Senecio discifolius",NA,"Oliv.",TRUE,245
"247",247,"ENSEVEN","Ensete ventricosum","Ensete ventricosum",NA,"(Welw.) Cheesman",FALSE,247
"50541",50541,"ENSEVEN","Ensete edule","Ensete edule",NA,"Horan.",TRUE,247
"251",251,"ERAGAMA","Eragrostis amabilis","Eragrostis amabilis",NA,"(L.) Wight & Arn.",FALSE,251
"50020",50020,"ERAGAMA","Eragrostis tenella","Eragrostis tenella",NA,"(L.) P. Beauv. ex Roem. & Schult.",TRUE,251
"252",252,"ERAGASP","Eragrostis aspera","Eragrostis aspera",NA,"(Jacq.) Nees",FALSE,252
"253",253,"ERAGCIL","Eragrostis ciliaris","Eragrostis ciliaris",NA,"(L.) R. Br.",FALSE,253
"255",255,"ERAGMAC","Eragrostis macilenta","Eragrostis macilenta",NA,"(A. Rich.) Steud.",FALSE,255
"256",256,"ERAG.SP","Eragrostis species","Eragrostis species",NA,NA,FALSE,256
"52094",52094,"ERAG.SP","Eragrostis aff. lasian","Eragrostis aff. lasiantha",NA,"Stapf",TRUE,256
"259",259,"ERAGTFL","Eragrostis tenuifolia","Eragrostis tenuifolia",NA,"(A. Rich.) Steud.",FALSE,259
"262",262,"ERUCARA","Erucastrum arabicum","Erucastrum arabicum",NA,"Fisch. & C.A. Mey.",FALSE,262
"269",269,"EUCLDIV","Euclea divinorum","Euclea divinorum",NA,"Hiern",FALSE,269
"50787",50787,"EUCLDIV","Euclea divinorum ssp.","Euclea divinorum ssp. keniensis",NA,"(R. E. Fr.) de Wit",TRUE,269
"274",274,"EUPH.SP","Euphorbia species","Euphorbia species",NA,"NA",FALSE,274
"278",278,"FICUSUR","Ficus sur","Ficus sur",NA,"Forssk.",FALSE,278
"279",279,"FICUSYC","Ficus sycomorus","Ficus sycomorus",NA,"L.",FALSE,279
"285",285,"GALIPAR","Galinsoga parviflora","Galinsoga parviflora",NA,"Cav.",FALSE,285
"287",287,"GALIAPA","Galium aparinoides","Galium aparinoides",NA,"Forssk.",FALSE,287
"51226",51226,"GALIAPA","Galium hamatum","Galium hamatum",NA,"A. Rich.",TRUE,287
"290",290,"GERAMAS","Geranium mascatense","Geranium mascatense",NA,"Boiss.",FALSE,290
"50027",50027,"GERAMAS","Geranium ocellatum","Geranium ocellatum",NA,"Cambess.",TRUE,290
"291",291,"GISEPHA","Gisekia pharnaceoides","Gisekia pharnaceoides",NA,"L.",FALSE,291
"294",294,"GNAPU.R","Gnaphalium unionis v.","Gnaphalium unionis v. rubriflorum",NA,"(Hilliard) Beentje",FALSE,294
"50028",50028,"GNAPU.R","Gnaphalium rubriflorum","Gnaphalium rubriflorum",NA,"Hilliard",TRUE,294
"299",299,"GREWBIC","Grewia bicolor","Grewia bicolor",NA,"Juss.",FALSE,299
"300",300,"GREWSIM","Grewia similis","Grewia similis",NA,"K. Schum.",FALSE,300
"302",302,"HAPLABY","Haplosciadium abyssini","Haplosciadium abyssinicum",NA,"Hochst.",FALSE,302
"307",307,"HELISTE","Heliotropium steudneri","Heliotropium steudneri",NA,"Vatke",FALSE,307
"309",309,"HERAABY","Heracleum abyssinicum","Heracleum abyssinicum",NA,"(Boiss.) C. Norman",FALSE,309
"310",310,"HETECON","Heteropogon contortus","Heteropogon contortus",NA,"NA",FALSE,310
"311",311,"HEWIMAL","Hewittia malabarica","Hewittia malabarica",NA,"(L.) Suresh",FALSE,311
"50031",50031,"HEWIMAL","Hewittia sublobata","Hewittia sublobata",NA,"(L.f.) Kuntze",TRUE,311
"52307",52307,"HEWIMAL","Hewittia scandens","Hewittia scandens",NA,"(J.Kˆnig ex Milne) Mabb.",TRUE,311
"314",314,"HIBI.SP","Hibiscus species","Hibiscus species",NA,"NA",FALSE,314
"315",315,"HIBIVIT","Hibiscus vitifolius","Hibiscus vitifolius",NA,"L.",FALSE,315
"316",316,"HIRPDIF","Hirpicium diffusum","Hirpicium diffusum",NA,"(O. Hoffm.) Roessler",FALSE,316
"317",317,"HYDRSIB","Hydrocotyle sibthorpio","Hydrocotyle sibthorpioides",NA,"Lam.",FALSE,317
"323",323,"INDIARR","Indigofera arrecta","Indigofera arrecta",NA,"Hochst. ex A. Rich.",FALSE,323
"324",324,"INDISCH","Indigofera schimperi","Indigofera schimperi",NA,"Jaub. & Spach",FALSE,324
"325",325,"INDI.SP","Indigofera species","Indigofera species",NA,NA,FALSE,325
