"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"50410",50410,"BOTHLON","Erlangea tomentosa","Erlangea tomentosa",NA,"(Oliv. & Hiern) S. Moore",TRUE,50409
"51738",51738,"BOTHLON","Bothriocline tomentosa","Bothriocline tomentosa",NA,"(Oliv. & Hiern) Wild & G. V. Pope",TRUE,50409
"50411",50411,"EUPHENG","Euphorbia engleri","Euphorbia engleri",NA,"Pax",FALSE,50411
"50412",50412,"IMPANAN","Impatiens nana","Impatiens nana",NA,"Engl. & Warb.",FALSE,50412
"50413",50413,"IMPANAN","Impatiens papilionacea","Impatiens papilionacea",NA,"Warb.",TRUE,50412
"50414",50414,"AFROLIN","Afroligusticum linderi","Afroligusticum linderi",NA,"(C. Norman) P.J.D. Winter",FALSE,50414
"50415",50415,"AFROLIN","Peucedanum linderi","Peucedanum linderi",NA,"C. Norman",TRUE,50414
"50416",50416,"SOLAACU","Solanum aculeastrum","Solanum aculeastrum",NA,"Dunal",FALSE,50416
"50418",50418,"PTERCAT","Pteris catoptera","Pteris catoptera",NA,"Kunze",FALSE,50418
"50419",50419,"PLECLON","Plectranthus longipes","Plectranthus longipes",NA,"Baker",FALSE,50419
"50420",50420,"CUSCKIL","Cuscuta kilimanjari","Cuscuta kilimanjari",NA,"Oliv.",FALSE,50420
"50421",50421,"TRICELL","Trichocladus ellipticu","Trichocladus ellipticus",NA,"Eckl. & Zeyh.",FALSE,50421
"50422",50422,"RYTIACU","Rytigynia acuminatissi","Rytigynia acuminatissima",NA,"(K.Schum.) Robyns",FALSE,50422
"52045",52045,"RYTIACU","Vangueria acuminatissi","Vangueria acuminatissima",NA,"K. Schum.",TRUE,50422
"50423",50423,"HYPOARI","Hypoestes aristata","Hypoestes aristata",NA,"(Vahl) Sol. ex Roem. & Schult.",FALSE,50423
"50425",50425,"HIBIMAC","Hibiscus macranthus","Hibiscus macranthus",NA,"Hochst. ex A. Rich.",FALSE,50425
"50426",50426,"FICUTHO","Ficus thonningii","Ficus thonningii",NA,"Blume",FALSE,50426
"50427",50427,"CALOCAP","Calodendrum capense","Calodendrum capense",NA,"Thunb.",FALSE,50427
"50428",50428,"ACALVOL","Acalypha volkensii","Acalypha volkensii",NA,"Pax",FALSE,50428
"50429",50429,"HIBIFUS","Hibiscus fuscus","Hibiscus fuscus",NA,"Garcke",FALSE,50429
"50430",50430,"LANDBUC","Landolphia buchananii","Landolphia buchananii",NA,"(Hallier f.) Stapf",FALSE,50430
"50431",50431,"PHAUIMB","Phaulopsis imbricata","Phaulopsis imbricata",NA,"(Forssk.) Sweet",FALSE,50431
"50432",50432,"OLEAC.W","Olea capensis ssp. wel","Olea capensis ssp. welwitschii",NA,"(Knobl. ) Friis & P. S. Green",FALSE,50432
"50433",50433,"OPLICOM","Oplismenus compositus","Oplismenus compositus",NA,"(L.) P. Beauv.",FALSE,50433
"50434",50434,"PENT.SP","Pentas species","Pentas species",NA,"NA",FALSE,50434
"50435",50435,"UVARSCH","Uvaria scheffleri","Uvaria scheffleri",NA,"Diels",FALSE,50435
"50436",50436,"RUBICOR","Rubia cordifolia","Rubia cordifolia",NA,"L.",FALSE,50436
"50437",50437,"PERILIN","Periploca linearifolia","Periploca linearifolia",NA,"Quart. -Dill. & A. Rich. ex A. Rich.",FALSE,50437
"50438",50438,"VERBBRE","Verbascum brevipedicel","Verbascum brevipedicellatum",NA,"(Engl.) Hub.-Mor.",FALSE,50438
"50439",50439,"LEUCMAR","Leucas martinicensis","Leucas martinicensis",NA,"(Jacq.) R. Br.",FALSE,50439
"50440",50440,"ACOKSCH","Acokanthera schimperi","Acokanthera schimperi",NA,"(A. DC.) Schweinf.",FALSE,50440
"50441",50441,"ASPLSAN","Asplenium sandersonii","Asplenium sandersonii",NA,"Hook.",FALSE,50441
"50442",50442,"VANGINF","Vangueria infausta","Vangueria infausta",NA,"Burch.",FALSE,50442
"50443",50443,"PAVOURE","Pavonia urens","Pavonia urens",NA,"Cav.",FALSE,50443
"50444",50444,"NEONWIG","Neonotonia wightii","Neonotonia wightii",NA,"(Wight & Arn.) J. A. Lackey",FALSE,50444
"50445",50445,"NEONWIG","Glycine wightii","Glycine wightii",NA,"(Wight & Arn.) Verdc.",TRUE,50444
"50446",50446,"ERAGSUP","Eragrostis superba","Eragrostis superba",NA,"Peyr.",FALSE,50446
"50447",50447,"GALISAX","Galiniera saxifraga","Galiniera saxifraga",NA,"(Hochst.) Bridson",FALSE,50447
"50448",50448,"GALISAX","Galiniera coffeoides","Galiniera coffeoides",NA,"Delile",TRUE,50447
"50449",50449,"DICLLAX","Dicliptera laxata","Dicliptera laxata",NA,"C.B. Clarke",FALSE,50449
"50450",50450,"CANTOLI","Canthium oligocarpum","Canthium oligocarpum",NA,"Hiern",FALSE,50450
"50451",50451,"DROGDEB","Droguetia debilis","Droguetia debilis",NA,"Rendle",FALSE,50451
"50452",50452,"ERIASCH","Erianthemum schelei","Erianthemum schelei",NA,"(Engl.) Tiegh.",FALSE,50452
"50453",50453,"ERIASCH","Loranthus ulugurensis","Loranthus ulugurensis",NA,"Engl.",TRUE,50452
"50454",50454,"CHLOSPA","Chlorophytum sparsiflo","Chlorophytum sparsiflorum",NA,"Baker",FALSE,50454
"50455",50455,"POLYBOR","Polyphlebium borbonicu","Polyphlebium borbonicum",NA,"(Bosch) Ebihara & Dubuisson",FALSE,50455
"50456",50456,"POLYBOR","Trichomanes borbonicum","Trichomanes borbonicum",NA,"Bosch",TRUE,50455
"50457",50457,"DRACAFR","Dracaena afromontana","Dracaena afromontana",NA,"Mildbr.",FALSE,50457
"50458",50458,"BERBHOL","Berberis holstii","Berberis holstii",NA,"Engl.",FALSE,50458
"50459",50459,"CAREPER","Carex peregrina","Carex peregrina",NA,"Link",FALSE,50459
"50460",50460,"ARCEJUN","Arceuthobium juniperi-","Arceuthobium juniperi-procerae",NA,"Chiov.",FALSE,50460
"50461",50461,"FUMAABY","Fumaria abyssinica","Fumaria abyssinica",NA,"Hammar",FALSE,50461
"50462",50462,"SENERUW","Senecio ruwenzoriensis","Senecio ruwenzoriensis",NA,"S. Moore",FALSE,50462
"50463",50463,"ROMUFIS","Romulea fischeri","Romulea fischeri",NA,"Pax",FALSE,50463
"50464",50464,"FUERAFR","Fuerstia africana","Fuerstia africana",NA,"T.C.E. Fr.",FALSE,50464
"50465",50465,"LEUCTOM","Leucas tomentosa","Leucas tomentosa",NA,"G¸rke",FALSE,50465
"50466",50466,"PLUCOVA","Pluchea ovalis","Pluchea ovalis",NA,"(Pers.) DC.",FALSE,50466
"50467",50467,"EHRECYM","Ehretia cymosa","Ehretia cymosa",NA,"Thonn.",FALSE,50467
"50468",50468,"HELIINT","Helinus integrifolius","Helinus integrifolius",NA,"(Lam.) Kuntze",FALSE,50468
"50469",50469,"ACANPUB","Acanthopale pubescens","Acanthopale pubescens",NA,"(Lindau) C.B. Clarke",FALSE,50469
"50470",50470,"VEPRGLO","Vepris glomerata","Vepris glomerata",NA,"(F. Hoffm.) Engl.",FALSE,50470
"50471",50471,"PEPETET","Peperomia tetraphylla","Peperomia tetraphylla",NA,"(G. Forst.) Hook. & Arn.",FALSE,50471
"50472",50472,"STOLREP","Stolzia repens","Stolzia repens",NA,"(Rolfe) Summerh.",FALSE,50472
"50473",50473,"BULB.SP","Bulbophyllum species","Bulbophyllum species",NA,"NA",FALSE,50473
"50474",50474,"ISOGPUN","Isoglossa punctata","Isoglossa punctata",NA,"(Vahl) Brummitt & Wood",FALSE,50474
"50475",50475,"EUCLR.S","Euclea racemosa ssp. s","Euclea racemosa ssp. schimperi",NA,"Murray",FALSE,50475
"51530",51530,"EUCLR.S","Euclea schimperi","Euclea schimperi",NA,"(A. DC.) Dandy",TRUE,50475
"50476",50476,"PISTAET","Pistacia aethiopica","Pistacia aethiopica",NA,"Dale & Greenway",FALSE,50476
"50477",50477,"CARISPI","Carissa spinarum","Carissa spinarum",NA,"L.",FALSE,50477
"50478",50478,"CARISPI","Carissa edulis","Carissa edulis",NA,"(Forssk.) Vahl",TRUE,50477
"50479",50479,"MICRMOR","Microcoelia moreauae","Microcoelia moreauae",NA,"L. Jonss.",FALSE,50479
"50480",50480,"SOLANAN","Solanecio nandensis","Solanecio nandensis",NA,"(S. Moore) C. Jeffrey",FALSE,50480
"50481",50481,"SENEHAD","Senecio hadiensis","Senecio hadiensis",NA,"Forssk.",FALSE,50481
"51688",51688,"SENEHAD","Senecio petitianus","Senecio petitianus",NA,"A. Rich.",TRUE,50481
"50482",50482,"RUELPAT","Ruellia patula","Ruellia patula",NA,"Jacq.",FALSE,50482
"50483",50483,"THUNGRE","Thunbergia gregorii","Thunbergia gregorii",NA,"S. Moore",FALSE,50483
"50484",50484,"COLCMEL","Colchicum melanthoides","Colchicum melanthoides",NA,"(Willd.) J.C. Manning & Vinn.",FALSE,50484
"50485",50485,"COLCMEL","Androcymbium melanthio","Androcymbium melanthioides",NA,"Willd.",TRUE,50484
"50486",50486,"CRINMAC","Crinum macowanii","Crinum macowanii",NA,"Baker",FALSE,50486
"50487",50487,"HYPOVIL","Hypoxis villosa","Hypoxis villosa",NA,"L. f.",FALSE,50487
"50489",50489,"PAVEOLI","Pavetta oliveriana","Pavetta oliveriana",NA,"Hiern",FALSE,50489
"50490",50490,"ELAEBUC","Elaeodendron buchanani","Elaeodendron buchananii",NA,"(Loes.) Loes.",FALSE,50490
"50491",50491,"GIRADIV","Girardinia diversifoli","Girardinia diversifolia",NA,"(Link) Friis",FALSE,50491
"50855",50855,"GIRADIV","Girardinia condensata","Girardinia condensata",NA,"(Steud.) Wedd.",TRUE,50491
"50492",50492,"LEONOCY","Leonotis ocymifolia","Leonotis ocymifolia",NA,"(Burm. f.) Iwarsson",FALSE,50492
"50493",50493,"DISCPEN","Discopodium penninervi","Discopodium penninervium",NA,"Hochst.",FALSE,50493
"50494",50494,"SMILANC","Smilax anceps","Smilax anceps",NA,"Willd.",FALSE,50494
"50495",50495,"SMILANC","Smilax kraussiana","Smilax kraussiana",NA,"Meisn.",TRUE,50494
"50496",50496,"ABUTLON","Abutilon longicuspe","Abutilon longicuspe",NA,"Hochst. ex A. Rich.",FALSE,50496
"50497",50497,"PHYTDOD","Phytolacca dodecandra","Phytolacca dodecandra",NA,"L'HÈr.",FALSE,50497
"50498",50498,"CYNAALT","Cynanchum altiscandens","Cynanchum altiscandens",NA,"K. Schum.",FALSE,50498
"50499",50499,"JUNCINF","Juncus inflexus","Juncus inflexus",NA,"L.",FALSE,50499
"50500",50500,"PIMPORE","Pimpinella oreophila","Pimpinella oreophila",NA,"Hook. f.",FALSE,50500
"50501",50501,"SALVMER","Salvia merjamie","Salvia merjamie",NA,"Forssk.",FALSE,50501
"50502",50502,"LEUCVOL","Leucas volkensii","Leucas volkensii",NA,"G¸rke",FALSE,50502
"50503",50503,"GERAKIL","Geranium kilimandschar","Geranium kilimandscharicum",NA,"Engl.",FALSE,50503
"50504",50504,"LEPIEXC","Lepisorus excavatus","Lepisorus excavatus",NA,"(Bory ex Willd.) Ching",FALSE,50504
"50885",50885,"LEPIEXC","Pleopeltis excavata","Pleopeltis excavata",NA,"(Bory ex Willd.) Sledge",TRUE,50504
"50505",50505,"CYNAABY","Cynanchum abyssinicum","Cynanchum abyssinicum",NA,"Decne.",FALSE,50505
"50506",50506,"TODDASI","Toddalia asiatica","Toddalia asiatica",NA,"(L.) Lam.",FALSE,50506
"50507",50507,"DRYOKIL","Dryopteris kilemensis","Dryopteris kilemensis",NA,"(Kuhn) Kuntze",FALSE,50507
"50508",50508,"TABESTA","Tabernaemontana stapfi","Tabernaemontana stapfiana",NA,"Britten",FALSE,50508
"50509",50509,"BLOTSTI","Blotiella stipitata","Blotiella stipitata",NA,"(Alston) Faden",FALSE,50509
"50510",50510,"MACAC.K","Macaranga capensis var","Macaranga capensis var. kilimandscharica",NA,"(Baill.) Benth. ex Sim",FALSE,50510
"50511",50511,"MACAC.K","Macaranga kilimandscha","Macaranga kilimandscharica",NA,"Pax",TRUE,50510
"50512",50512,"PLECMEL","Plectranthus melleri","Plectranthus melleri",NA,"Baker",FALSE,50512
"50513",50513,"PLECMEL","Plectranthus luteus","Plectranthus luteus",NA,"G¸rke",TRUE,50512
"50514",50514,"ELAPLAS","Elaphoglossum lastii","Elaphoglossum lastii",NA,"(Baker) C. Chr.",FALSE,50514
"50515",50515,"BEGOMEY","Begonia meyeri-johanni","Begonia meyeri-johannis",NA,"Engl.",FALSE,50515
"50516",50516,"PEDDFIS","Peddiea fischeri","Peddiea fischeri",NA,"Engl.",FALSE,50516
"50517",50517,"OLEADIS","Oleandra distenta","Oleandra distenta",NA,"Kunze",FALSE,50517
"50518",50518,"OCOTUSA","Ocotea usambarensis","Ocotea usambarensis",NA,"Engl.",FALSE,50518
"50519",50519,"LASIKIL","Lasianthus kilimandsch","Lasianthus kilimandscharicus",NA,"K. Schum.",FALSE,50519
"50520",50520,"SYZYGUI","Syzygium guineense","Syzygium guineense",NA,"(Willd.) DC.",FALSE,50520
"50522",50522,"ROURTHO","Rourea thomsonii","Rourea thomsonii",NA,"(Baker) Jongkind",FALSE,50522
"50523",50523,"ROURTHO","Jaundea pinnata","Jaundea pinnata",NA,"(P. Beauv.) G. Schellenb.",TRUE,50522
"50524",50524,"ALLOFER","Allophylus ferrugineus","Allophylus ferrugineus",NA,"Taub.",FALSE,50524
"50525",50525,"ALLOFER","Allophylus cuneatus","Allophylus cuneatus",NA,"Baker f.",TRUE,50524
"50526",50526,"LOBEBAU","Lobelia baumannii","Lobelia baumannii",NA,"Engl.",FALSE,50526
"50527",50527,"MARAFRA","Marattia fraxinea","Marattia fraxinea",NA,"Sm.",FALSE,50527
"50528",50528,"CYATMAN","Cyathea manniana","Cyathea manniana",NA,"Hook.",FALSE,50528
"50529",50529,"CORNVOL","Cornus volkensii","Cornus volkensii",NA,"Harms",FALSE,50529
"50530",50530,"CORNVOL","Afrocrania volkensii","Afrocrania volkensii",NA,"(Harms) Hutch.",TRUE,50529
"50531",50531,"MUSSM.O","Mussaenda microdonta s","Mussaenda microdonta ssp. odorata",NA,"(Hutch.) Bridson",FALSE,50531
"50532",50532,"MUSSM.O","Mussaenda odorata","Mussaenda odorata",NA,"Hutch.",TRUE,50531
"50533",50533,"DIDYTRU","Didymochlaena truncatu","Didymochlaena truncatula",NA,"(Sw.) J. Sm.",FALSE,50533
"50534",50534,"ANTHGRA","Anthocleista grandiflo","Anthocleista grandiflora",NA,"Gilg",FALSE,50534
"50535",50535,"ANTHGRA","Anthocleista zambesiac","Anthocleista zambesiaca",NA,"Baker",TRUE,50534
"50536",50536,"SECAPUN","Secamone punctulata","Secamone punctulata",NA,"Decne.",FALSE,50536
"50537",50537,"MYRIHOL","Myrianthus holstii","Myrianthus holstii",NA,"Engl.",FALSE,50537
"50538",50538,"TILIFUN","Tiliacora funifera","Tiliacora funifera",NA,"(Miers) Oliv.",FALSE,50538
"50539",50539,"ALANCHI","Alangium chinense","Alangium chinense",NA,"(Lour.) Harms",FALSE,50539
"50540",50540,"HALLLUC","Halleria lucida","Halleria lucida",NA,"L.",FALSE,50540
"50542",50542,"HUNTZEY","Hunteria zeylanica","Hunteria zeylanica",NA,"(Retz.) Gardner ex Thwaites",FALSE,50542
"50543",50543,"TRIMGRA","Trimeria grandifolia","Trimeria grandifolia",NA,"(Hochst.) Warb.",FALSE,50543
"50544",50544,"CROTSYL","Croton sylvaticus","Croton sylvaticus",NA,"Hochst.",FALSE,50544
"50546",50546,"AFRAZAM","Aframomum zambesiacum","Aframomum zambesiacum",NA,"(Baker) K. Schum.",FALSE,50546
"50547",50547,"AFRAZAM","Aframomum keniense","Aframomum keniense",NA,"R. E. Fr.",TRUE,50546
"50548",50548,"CISSOLI","Cissus oliveri","Cissus oliveri",NA,"(Engl.) Gilg",FALSE,50548
"50549",50549,"VITEKEN","Vitex keniensis","Vitex keniensis",NA,"Turrill",FALSE,50549
"50550",50550,"HALLRUB","Hallea rubrostipulata","Hallea rubrostipulata",NA,"(K. Schum.) Leroy",FALSE,50550
"50551",50551,"HALLRUB","Mitragyna rubrostipula","Mitragyna rubrostipulata",NA,"(K. Schum.) Havil.",TRUE,50550
"50552",50552,"RAWSLUC","Rawsonia lucida","Rawsonia lucida",NA,"Harv. & Sond.",FALSE,50552
"50553",50553,"UVARANI","Uvariodendron anisatum","Uvariodendron anisatum",NA,"Verdc.",FALSE,50553
"50554",50554,"HEINDIE","Heinsenia diervilleoid","Heinsenia diervilleoides",NA,"K. Schum.",FALSE,50554
"50555",50555,"LOVOSWY","Lovoa swynnertonii","Lovoa swynnertonii",NA,"Baker f.",FALSE,50555
"50556",50556,"ADIAHIS","Adiantum hispidulum","Adiantum hispidulum",NA,"Sw.",FALSE,50556
"50557",50557,"CHRYGOR","Chrysophyllum gorungos","Chrysophyllum gorungosanum",NA,"Engl.",FALSE,50557
"50558",50558,"FILIDEC","Filicium decipiens","Filicium decipiens",NA,"(Wight & Arn.) Thwaites",FALSE,50558
"50559",50559,"VEPRTRI","Vepris trichocarpa","Vepris trichocarpa",NA,"(Engl.) Mziray",FALSE,50559
"50560",50560,"VEPRTRI","Teclea trichocarpa","Teclea trichocarpa",NA,"(Engl.) Engl.",TRUE,50559
"50561",50561,"HILLLAT","Hilleria latifolia","Hilleria latifolia",NA,"(Lam.) H. Walter",FALSE,50561
"50562",50562,"MEINPHY","Meineckia phyllanthoid","Meineckia phyllanthoides",NA,"Baill.",FALSE,50562
"50563",50563,"UVARLUC","Uvaria lucida","Uvaria lucida",NA,"Benth.",FALSE,50563
"50564",50564,"PLEIPYC","Pleiocarpa pycnantha","Pleiocarpa pycnantha",NA,"(K. Schum.) Stapf",FALSE,50564
"50565",50565,"DRYPNAT","Drypetes natalensis","Drypetes natalensis",NA,"(Harv.) Hutch.",FALSE,50565
"50566",50566,"IXORSCH","Ixora scheffleri","Ixora scheffleri",NA,"K. Schum. & K. Krause",FALSE,50566
"50567",50567,"BLIGUNI","Blighia unijugata","Blighia unijugata",NA,"Baker",FALSE,50567
"50568",50568,"NEWTBUC","Newtonia buchananii","Newtonia buchananii",NA,"(Baker f.) G.C.C. Gilbert & Boutique",FALSE,50568
"50569",50569,"CYPEDER","Cyperus derreilema","Cyperus derreilema",NA,"Steud.",FALSE,50569
"50570",50570,"SELAKRA","Selaginella kraussiana","Selaginella kraussiana",NA,"(Kunze) A. Braun",FALSE,50570
"50571",50571,"NEOBMAC","Neoboutonia macrocalyx","Neoboutonia macrocalyx",NA,"Pax",FALSE,50571
"50572",50572,"PAVEHYM","Pavetta hymenophylla","Pavetta hymenophylla",NA,"Bremek.",FALSE,50572
"50573",50573,"HYME.SP","Hymenophyllum species","Hymenophyllum species",NA,"NA",FALSE,50573
"50574",50574,"AMAUSTR","Amauropelta strigosa","Amauropelta strigosa",NA,"(Willd.) Holttum",FALSE,50574
"50575",50575,"AMAUSTR","Thelypteris strigosa","Thelypteris strigosa",NA,"(Willd.) Tardieu",TRUE,50574
"50576",50576,"TECTGEM","Tectaria gemmifera","Tectaria gemmifera",NA,"(FÈe) Alston",FALSE,50576
"50577",50577,"TETRRIP","Tetradenia riparia","Tetradenia riparia",NA,"(Hochst.) Codd",FALSE,50577
"50579",50579,"PTERMUR","Pteris muricella","Pteris muricella",NA,"FÈe",FALSE,50579
"50580",50580,"PTERMUR","Pteris pteridioides","Pteris pteridioides",NA,"(Hook.) Ballard",TRUE,50579
"50581",50581,"ELATMON","Elatostema monticola","Elatostema monticola",NA,"Hook. f.",FALSE,50581
"50582",50582,"DALBLAC","Dalbergia lactea","Dalbergia lactea",NA,"Vatke",FALSE,50582
"50583",50583,"ARTHORI","Arthropteris orientali","Arthropteris orientalis",NA,"(J.F. Gmel.) Posth.",FALSE,50583
"50584",50584,"ENCETEG","Encephalartos tegulane","Encephalartos tegulaneus",NA,"Melville",FALSE,50584
"50585",50585,"PELLLON","Pellaea longipilosa","Pellaea longipilosa",NA,"Bonap.",FALSE,50585
"50586",50586,"CHAEARI","Chaetachme aristata","Chaetachme aristata",NA,"Planch.",FALSE,50586
"50587",50587,"PELLADI","Pellaea adiantoides","Pellaea adiantoides",NA,"J. Sm.",FALSE,50587
"50588",50588,"ASPLABY","Asplenium abyssinicum","Asplenium abyssinicum",NA,"FÈe",FALSE,50588
"50589",50589,"ASPLLIN","Asplenium linckii","Asplenium linckii",NA,"Kuhn",FALSE,50589
"50590",50590,"PNEUUNI","Pneumatopteris unita","Pneumatopteris unita",NA,"(Kunze) Holttum",FALSE,50590
"50591",50591,"HYDRMAN","Hydrocotyle mannii","Hydrocotyle mannii",NA,"Hook. f.",FALSE,50591
"50592",50592,"DIPLNEM","Diplazium nemorale","Diplazium nemorale",NA,"(Baker) Schelpe",FALSE,50592
"50593",50593,"PEPOVOG","Peponium vogelii","Peponium vogelii",NA,"(Hook. f.) Engl.",FALSE,50593
"50594",50594,"PSYCFRA","Psychotria fractinerva","Psychotria fractinervata",NA,"E.M.A. Petit",FALSE,50594
"50595",50595,"HYPOSPA","Hypolepis sparsisora","Hypolepis sparsisora",NA,"(Schrad.) Kuhn",FALSE,50595
"50596",50596,"CANAEMI","Canarina eminii","Canarina eminii",NA,"Asch. & Schweinf.",FALSE,50596
"50597",50597,"IMPAFIS","Impatiens fischeri","Impatiens fischeri",NA,"Warb.",FALSE,50597
"50598",50598,"ELAPACR","Elaphoglossum acrostic","Elaphoglossum acrostichoides",NA,"(Hook. & Grev.) Schelpe",FALSE,50598
"50599",50599,"KEETGUE","Keetia gueinzii","Keetia gueinzii",NA,"(Sond.) Bridson",FALSE,50599
"50600",50600,"MONAPAR","Monanthotaxis parvifol","Monanthotaxis parvifolia",NA,"(Oliv.) Verdc.",FALSE,50600
"50601",50601,"IMPAT.E","Impatiens tinctoria su","Impatiens tinctoria subsp. elegantissima",NA,"(Gilg) Grey-Wilson",FALSE,50601
"51177",51177,"IMPAT.E","Impatiens elegantissim","Impatiens elegantissima",NA,"Gilg",TRUE,50601
"50602",50602,"IMPAM.T","Impatiens mildbraedii","Impatiens mildbraedii subsp. telekii",NA,"(T.C.E. Fr.) Grey-Wilson",FALSE,50602
"50603",50603,"COLAGRE","Cola greenwayi","Cola greenwayi",NA,"Brenan",FALSE,50603
"50604",50604,"STREMON","Streptocarpus montanus","Streptocarpus montanus",NA,"Oliv.",FALSE,50604
"50605",50605,"CUSSHOL","Cussonia holstii","Cussonia holstii",NA,"Harms ex Engl.",FALSE,50605
"50606",50606,"EULOHOR","Eulophia horsfallii","Eulophia horsfallii",NA,"(Bateman) Summerh.",FALSE,50606
"50607",50607,"TRICDRE","Trichilia dregeana","Trichilia dregeana",NA,"Sond.",FALSE,50607
"50608",50608,"MARKLUT","Markhamia lutea","Markhamia lutea",NA,"(Benth.) K. Schum.",FALSE,50608
"50609",50609,"TRIUBRA","Triumfetta brachyceras","Triumfetta brachyceras",NA,"K. Schum.",FALSE,50609
"50610",50610,"TRIUBRA","Triumfetta macrophylla","Triumfetta macrophylla",NA,"K. Schum.",TRUE,50609
"50611",50611,"CISSFRI","Cissampelos friesiorum","Cissampelos friesiorum",NA,"Diels",FALSE,50611
"50612",50612,"SOLAAGU","Solanecio angulatus","Solanecio angulatus",NA,"(Vahl) D.Jeffrey",FALSE,50612
"50613",50613,"DRYOMAN","Dryopteris manniana","Dryopteris manniana",NA,"(Hook.) C. Chr.",FALSE,50613
"50614",50614,"CARECHL","Carex chlorosaccua","Carex chlorosaccua",NA,"C.B. Clarke",FALSE,50614
"50615",50615,"PLECKAM","Plectranthus kamerunen","Plectranthus kamerunensis",NA,"G¸rke",FALSE,50615
"50616",50616,"ASPLELL","Asplenium elliottii","Asplenium elliottii",NA,"C.H. Wright",FALSE,50616
"50617",50617,"ADENGUM","Adenia gummifera","Adenia gummifera",NA,"(Harv.) Harms",FALSE,50617
"50620",50620,"PSEUAUB","Pseudophegopteris aube","Pseudophegopteris aubertii",NA,"(Desv.) Holttum",FALSE,50620
"50621",50621,"PSEUAUB","Macrothelypteris auber","Macrothelypteris aubertii",NA,"Pic.Serm.",TRUE,50620
"50622",50622,"RYTIUHL","Rytigynia uhligii","Rytigynia uhligii",NA,"(K. Schum. & K. Krause) Verdc.",FALSE,50622
"50623",50623,"DRYNVOL","Drynaria volkensii","Drynaria volkensii",NA,"Hieron.",FALSE,50623
"50624",50624,"PILEU.V","Pilea usambarensis var","Pilea usambarensis var. veronicifolia",NA,"(Engl.) Friis",FALSE,50624
"50625",50625,"WARBUGA","Warburgia ugandensis","Warburgia ugandensis",NA,"Sprague",FALSE,50625
"50626",50626,"OLINROC","Olinia rochetiana","Olinia rochetiana",NA,"A. Juss.",FALSE,50626
"50627",50627,"CELOANT","Celosia anthelminthica","Celosia anthelminthica",NA,"Asch.",FALSE,50627
"50628",50628,"CYRTARC","Cyrtorchis arcuata","Cyrtorchis arcuata",NA,"(Lindl.) Schltr.",FALSE,50628
"50629",50629,"SOLATER","Solanum terminale","Solanum terminale",NA,"Forssk.",FALSE,50629
"50630",50630,"MIMUALP","Mimulopsis alpina","Mimulopsis alpina",NA,"Chiov.",FALSE,50630
"50631",50631,"KOSTADO","Kosteletzkya adoensis","Kosteletzkya adoensis",NA,"(Hochst. ex A. Rich.) Mast.",FALSE,50631
"50632",50632,"SOLAVIO","Solanum violaceum","Solanum violaceum",NA,"Ortega",FALSE,50632
"50633",50633,"SOLAVIO","Solanum indicum","Solanum indicum",NA,"L.",TRUE,50632
"50634",50634,"BRACHUI","Brachylaena huillensis","Brachylaena huillensis",NA,"O. Hoffm.",FALSE,50634
"50635",50635,"CROTALI","Croton alienus","Croton alienus",NA,"Pax",FALSE,50635
"50636",50636,"OPLIBUR","Oplismenus burmannii","Oplismenus burmannii",NA,"(Retz.) P. Beauv.",FALSE,50636
"50637",50637,"ACOKOPP","Acokanthera oppositifo","Acokanthera oppositifolia",NA,"(Lam.) Codd",FALSE,50637
"50638",50638,"ACOKOPP","Acokanthera longiflora","Acokanthera longiflora",NA,"Stapf",TRUE,50637
"50639",50639,"GNIDSUB","Gnidia subcordata","Gnidia subcordata",NA,"Meisn.",FALSE,50639
"50640",50640,"CASSROT","Cassipourea rotundifol","Cassipourea rotundifolia",NA,"(Engl.) Alston",FALSE,50640
"50641",50641,"MANIDIS","Manilkara discolor","Manilkara discolor",NA,"(Sond.) J. H. Hemsl.",FALSE,50641
"50642",50642,"TURRMOM","Turraea mombassana","Turraea mombassana",NA,"Hiern ex C. DC.",FALSE,50642
"50643",50643,"ALBISCH","Albizia schimperiana","Albizia schimperiana",NA,"Oliv.",FALSE,50643
"50644",50644,"MIMUKUM","Mimusops kummel","Mimusops kummel",NA,"Bruce ex A. DC.",FALSE,50644
"50645",50645,"VERNHOL","Vernonia holstii","Vernonia holstii",NA,"O. Hoffm.",FALSE,50645
"50646",50646,"HIBICOR","Hibiscus corymbosus","Hibiscus corymbosus",NA,"Hochst. ex A. Rich.",FALSE,50646
"50647",50647,"VEPRBOR","Vepris borenensis","Vepris borenensis",NA,"(M. G. Gilbert) Mziray",FALSE,50647
"50648",50648,"VEPRBOR","Teclea hanangensis","Teclea hanangensis",NA,"Kokwaro",TRUE,50647
"50649",50649,"OCHNOVA","Ochna ovata","Ochna ovata",NA,"F. Hoffm.",FALSE,50649
"50650",50650,"VISCFIS","Viscum fischeri","Viscum fischeri",NA,"Engl.",FALSE,50650
"50651",50651,"FAGAANG","Fagaropsis angolensis","Fagaropsis angolensis",NA,"(Engl.) Dale",FALSE,50651
"50652",50652,"ZANTUSA","Zanthoxylum usambarens","Zanthoxylum usambarense",NA,"(Engl.) Kokwaro",FALSE,50652
